fetched_at,name,url,status,n_tools,error
2026-08-10T02:31:00+00:00,ai.decisionlog/mcp,https://www.decisionlog.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://www.decisionlog.ai/api/mcp
2026-08-10T02:31:00+00:00,ai.deepledger/mcp,https://mcp.deepledger.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.deepledger.ai/mcp
2026-08-10T02:31:02+00:00,ai.deinai/creator-skill,https://deinai.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://deinai.ai/mcp
2026-08-10T02:31:03+00:00,ai.deinai/creator-skill-v2,https://skill.deinai.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://skill.deinai.ai/mcp
2026-08-10T02:31:03+00:00,ai.delega/aws-pricing-calculator,https://calculator.delega.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://calculator.delega.ai/mcp
2026-08-10T02:31:04+00:00,ai.demanddiscovery/mcp,https://mcp.demanddiscovery.ai/api/mcp,ok,10,
2026-08-10T02:31:05+00:00,ai.demomagic/interactive-video-guide,,skipped_no_remote,,
2026-08-10T02:31:06+00:00,ai.deskcrew/agentic,https://deskcrew.ai/api/mcp,ok,4,
2026-08-10T02:31:07+00:00,ai.diagramzu/mcp,https://mcp.diagramzu.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.diagramzu.ai/mcp
2026-08-10T02:31:08+00:00,ai.dimetrics/dimetrics,https://www.dimetrics.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://www.dimetrics.ai/api/mcp
2026-08-10T02:31:08+00:00,ai.dinglebear/apprise-rmcp,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/arcane-rmcp,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/cortex,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/cortex-rmcp,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/gotify-rmcp,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/labby,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/rapprise,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/rarcane,,skipped_no_remote,,
2026-08-10T02:31:08+00:00,ai.dinglebear/rgotify,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/rtailscale,https://ts.dinglebear.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://ts.dinglebear.ai/mcp
2026-08-10T02:31:09+00:00,ai.dinglebear/runifi,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/rytdl,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/soma,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/synapse,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/synapse-rmcp,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/tailscale-rmcp,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/unifi-rmcp,,skipped_no_remote,,
2026-08-10T02:31:09+00:00,ai.dinglebear/unraid,,skipped_no_remote,,
